"","symbol","date","adjusted","macd","signal","diff"
"219","DIS",2020-07-08,116.660004,NA,NA,NA
"220","DIS",2020-07-09,116.809998,NA,NA,NA
"221","DIS",2020-07-10,119.339996,NA,NA,NA
"222","DIS",2020-07-13,116.220001,NA,NA,NA
"223","DIS",2020-07-14,118.660004,NA,NA,NA
"224","DIS",2020-07-15,120.900002,NA,NA,NA
"225","DIS",2020-07-16,119.43,NA,NA,NA
"226","DIS",2020-07-17,118.650002,NA,NA,NA
"227","DIS",2020-07-20,117.790001,NA,NA,NA
"228","DIS",2020-07-21,118.620003,NA,NA,NA
"229","DIS",2020-07-22,119.029999,NA,NA,NA
"230","DIS",2020-07-23,118.120003,NA,NA,NA
"231","DIS",2020-07-24,117.610001,NA,NA,NA
"232","DIS",2020-07-27,116.309998,NA,NA,NA
"233","DIS",2020-07-28,116.18,NA,NA,NA
"234","DIS",2020-07-29,115.610001,NA,NA,NA
"235","DIS",2020-07-30,115.660004,NA,NA,NA
"236","DIS",2020-07-31,116.940002,NA,NA,NA
"237","DIS",2020-08-03,116.349998,NA,NA,NA
"238","DIS",2020-08-04,117.290001,NA,NA,NA
"239","DIS",2020-08-05,127.610001,NA,NA,NA
"240","DIS",2020-08-06,130.820007,0.95048970674394,NA,NA
"241","DIS",2020-08-07,129.929993,1.16263857358563,NA,NA
"242","DIS",2020-08-10,128.789993,1.3665265070596,NA,NA
"243","DIS",2020-08-11,130.490005,1.73997737525049,NA,NA
"244","DIS",2020-08-12,131.789993,2.22100832408567,NA,NA
"245","DIS",2020-08-13,130.960007,2.77428992372133,NA,NA
"246","DIS",2020-08-14,130.529999,3.3511305236428,NA,NA
"247","DIS",2020-08-17,129.369995,3.9612547345258,NA,NA
"248","DIS",2020-08-18,128.919998,4.36201334535165,2.43214766821854,1.9298656771331
"249","DIS",2020-08-19,127.769997,4.83940962486937,2.86424988134359,1.97515974352578
"250","DIS",2020-08-20,128.119995,5.33635021566501,3.32799561935241,2.0083545963126
"251","DIS",2020-08-21,127.440002,5.06174470435554,3.73857541905196,1.32316928530358
"252","DIS",2020-08-24,130.690002,4.66000018412591,4.0630223978159,0.596977786310014
"253","DIS",2020-08-25,129.789993,4.26187080749885,4.28978489597292,-0.0279140884740707
"254","DIS",2020-08-26,132.179993,4.05249130199115,4.43180727133623,-0.379315969345084
"255","DIS",2020-08-27,133.729996,3.79855657789716,4.48152127736449,-0.682964699467332
"256","DIS",2020-08-28,135.539993,3.49466701928447,4.42967819789323,-0.935011178608764
"257","DIS",2020-08-31,131.869995,3.10609405588036,4.2901316101742,-1.18403755429384
"258","DIS",2020-09-01,133.550003,2.76654068439659,4.05981283901056,-1.29327215461397
"259","DIS",2020-09-02,135.389999,2.56522274646602,3.75190978687734,-1.18668704041132
"260","DIS",2020-09-03,133.240005,2.30444954339664,3.44554365788191,-1.14109411448527
"261","DIS",2020-09-04,131.990005,2.07943423484134,3.1588141079614,-1.07937987312006
"262","DIS",2020-09-08,134.199997,1.9478443278053,2.90170005466211,-0.95385572685681
"263","DIS",2020-09-09,133.360001,1.81487854741256,2.65307641526449,-0.838197867851936
"264","DIS",2020-09-10,133.220001,1.50011651447699,2.39769418599559,-0.897577671518595
"265","DIS",2020-09-11,131.75,1.50142170957879,2.17622248491718,-0.674800775338388
"266","DIS",2020-09-14,131.25,1.4296554817389,1.98995153223479,-0.560296050495891
"267","DIS",2020-09-15,131.240005,1.23289262787261,1.81954619262102,-0.586653564748409
"268","DIS",2020-09-16,132.089996,0.916688069061733,1.63637567290943,-0.719687603847695
"269","DIS",2020-09-17,130.220001,0.820129156321303,1.47145118545661,-0.65132202913531
"270","DIS",2020-09-18,128.630005,0.601399152548221,1.30722506520182,-0.705825912653602
"271","DIS",2020-09-21,125.410004,0.131225066649532,1.10537848062896,-0.974153413979427
"272","DIS",2020-09-22,127.209999,-0.154578058926635,0.886549968813493,-1.04112802774013
"273","DIS",2020-09-23,123.279999,-0.530556799121673,0.660919600635864,-1.19147639975754
"274","DIS",2020-09-24,122.489998,-1.08938292641971,0.373052418858253,-1.46243534527797
"275","DIS",2020-09-25,124,-1.57734461532811,0.0389412969619179,-1.61628591229003
"276","DIS",2020-09-28,125.989998,-1.97762802658304,-0.317783220199821,-1.65984480638322
"277","DIS",2020-09-29,125.400002,-2.32472599678863,-0.67794033862764,-1.64678565816099
"278","DIS",2020-09-30,124.080002,-2.59323802192564,-1.05720335843286,-1.53603466349278
"279","DIS",2020-10-01,123.309998,-2.91534031917975,-1.44795218862485,-1.4673881305549
"280","DIS",2020-10-02,122.550003,-3.2517675239475,-1.82384025424674,-1.42792726970076
"281","DIS",2020-10-05,123.370003,-3.39540638140583,-2.18393229007777,-1.21147409132806
"282","DIS",2020-10-06,120.93,-3.47233465688604,-2.51079649649603,-0.961538160390015
"283","DIS",2020-10-07,122.910004,-3.37530237786924,-2.76478754665709,-0.61051483121215
"284","DIS",2020-10-08,123.089996,-3.3397582906298,-2.96061128835728,-0.379147002272526
"285","DIS",2020-10-09,124.980003,-2.92450511205934,-3.0658198534102,0.141314741350859
"286","DIS",2020-10-12,124.970001,-2.51863558589416,-3.08736536331081,0.568729777416654
"287","DIS",2020-10-13,128.960007,-2.10333331361671,-3.03293150683204,0.929598193215335
"288","DIS",2020-10-14,126.589996,-1.83748133742568,-2.91316939774826,1.07568806032257
"289","DIS",2020-10-15,127.360001,-1.52894095268298,-2.72174422316331,1.19280327048033
"290","DIS",2020-10-16,126.809998,-1.15603842524071,-2.47292556136718,1.31688713612647
"291","DIS",2020-10-19,124.230003,-0.867888057705091,-2.18354260590263,1.31565454819754
"292","DIS",2020-10-20,124.949997,-0.517347852816197,-1.86599210311896,1.34864425030277
"293","DIS",2020-10-21,126.629997,-0.160050110283649,-1.51269119419161,1.35264108390796
"294","DIS",2020-10-22,127.559998,0.420056321542095,-1.14107325712479,1.56112957866688
"295","DIS",2020-10-23,128.350006,0.83998112137933,-0.767893622983288,1.60787474436262
